CUST_GROUP,CUST_NAME,COUNTRY_NAME,SALES_REP,TEAM,FOCUS
SRIVIT,SRIVIT TRADING CO LTD,THAILAND,Kanda W.,SEA,false
SRIVIT,"SRIVIT TRADING CO., LTD.",THAILAND,Kanda W.,SEA,false
"STAN CHEM PHILIPPINES, INC.","STAN CHEM PHILIPPINES, INC.",PHILIPPINES,Kanda W.,SEA,false
STAR GEM,STAR GEM,FRANCE,Florian M.,Europe,false
STAUBER,STAUBER,UNITED STATES OF AMERICA,Kelli M.,Americas,false
STEUBEN FOODS,STEUBEN FOODS,UNITED STATES OF AMERICA,Kelli M.,Americas,false
STOCKLEY'S SWEETS LTD,STOCKLEY'S SWEETS LTD,UNITED KINGDOM,Florian M.,Europe,false
Stonefield Flavours PrivateLtd,Stonefield Flavours PrivateLtd,INDIA,Sanjay C.,IMEA,false
"STRUKMYER, LLC","STRUKMYER, LLC",UNITED STATES OF AMERICA,Danielle J.,Americas,false
SUGRO,SUGRO AG,SWITZERLAND,Gwenn B.,Europe,false
SUGRO,SUGRO AG,GERMANY,Gwenn B.,Europe,false
SUNNY SHINE,"SUNNY SHINE MARKETING CO.,LTD",CHINA,Jessie H.,China/Japan,false
Sunza LLC,Sunza LLC,UNITED STATES OF AMERICA,Kelli M.,Americas,false
"SUTLIFF-TOBACCO COMPANY,LLC","SUTLIFF-TOBACCO COMPANY,LLC",UNITED STATES OF AMERICA,Kelli M.,Americas,false
"SUZHOU FULAITE BIOTECH CO.,LTD","SUZHOU FULAITE BIOTECH CO.,LTD",CHINA,Haibin Y.,China/Japan,false
Suzhou Greenery Household Nece,Suzhou Greenery Household Nece,CHINA,Haibin Y.,China/Japan,false
Suzhou hong Yu,Suzhou hong Yu,CHINA,Haibin Y.,China/Japan,false
SUZHOU WENDA FOOD INGREDIENTS,SUZHOU WENDA FOOD INGREDIENTS,CHINA,Haibin Y.,China/Japan,false
"Suzhou Wusongjiang Pharmaceutical Co., Ltd","Suzhou Wusongjiang Pharmaceutical Co., Ltd",CHINA,Haibin Y.,China/Japan,false
SUZHOU YAOJI MEIYAN PHARMACEUT,SUZHOU YAOJI MEIYAN PHARMACEUT,CHINA,Haibin Y.,China/Japan,false
"SVC MEDICAL CO.,LTD.","SVC MEDICAL CO.,LTD.",THAILAND,Kanda W.,SEA,false
SWEDISH MATC,Swedish Match,UNITED STATES OF AMERICA,Jeff R.,Americas,false
SWEDISH MATC,"SWEDISH MATCH CIGARS, INC.",UNITED STATES OF AMERICA,Jeff R.,Americas,false
SweeGen,SweeGen,UNITED STATES OF AMERICA,Kelli M.,Americas,false
SWEET CAKES SOAPS,SWEET CAKES SOAPS,UNITED STATES OF AMERICA,Kelli M.,Americas,false
SWEETHOUSE GMBH & CO. KG,SWEETHOUSE GMBH & CO. KG,GERMANY,Gwenn B.,Europe,false
Swisher,SWISHER INTERNATIONAL INC,UNITED STATES OF AMERICA,Jeff R.,Americas,false
Swisher,"SWISHER INTERNATIONAL, INC.",UNITED STATES OF AMERICA,Jeff R.,Americas,false
SWIZZELS MATLOW LTD,SWIZZELS MATLOW LTD,UNITED KINGDOM,Florian M.,Europe,false
SYMAROM Asia Pte. Ltd.,SYMAROM Asia Pte. Ltd.,SINGAPORE,Kanda W.,SEA,false
Sympo Creatives,Sympo Creatives,UNITED STATES OF AMERICA,Kelli M.,Americas,false
SYMRISE,SYMRISE - BRAZIL,BRAZIL,Danielle J.,Americas,true
SYMRISE,SYMRISE - MEXICO,MEXICO,Danielle J.,Americas,true
SYMRISE,SYMRISE - MEXICO,UNITED STATES OF AMERICA,Danielle J.,Americas,true
SYMRISE,SYMRISE - USA,UNITED STATES OF AMERICA,Danielle J.,Americas,true
SYMRISE,"SYMRISE (NANTONG) CO.,LTD",CHINA,Haibin Y.,Americas,true
"SYNERGY FLAVORS, INC.","SYNERGY FLAVORS, INC.",UNITED STATES OF AMERICA,Kelli M.,Americas,false
Synergy Health Labs,Synergy Health Labs,UNITED STATES OF AMERICA,Kelli M.,Americas,false
SYNERLAB DEVELOPMENT,SYNERLAB DEVELOPMENT,FRANCE,Florian M.,Europe,false
SYRI LTD,SYRI LTD,UNITED KINGDOM,Gwenn B.,Europe,false
T. HASEGAWA USA INC.,T. HASEGAWA USA INC.,UNITED STATES OF AMERICA,Danielle J.,Americas,false
TABACALERA DEL ESTE S.A,TABACALERA DEL ESTE S.A,PARAGUAY,Florian M.,Europe,false
TAK CHING,Tak Ching Food Additive Co.,CHINA,Jessie H.,China/Japan,true
Takasago,"TAKASAGO DE MEXICO, S.A.",MEXICO,Danielle J.,Americas,true
Takasago,"TAKASAGO DE MEXICO, S.A.",UNITED STATES OF AMERICA,Danielle J.,Americas,true
Takasago,TAKASAGO EUROPE GMBH,GERMANY,Gwenn B.,Americas,true
Takasago,Takasago International Corporation (USA),UNITED STATES OF AMERICA,Danielle J.,Americas,true
Takasago,TakasagoIntl.IndiaPrivateLtd.,INDIA,Sanjay C.,Americas,true
Tank Space,Tank Space,UNITED STATES OF AMERICA,Kelli M.,Americas,false
TAO OF MAN LLC,TAO OF MAN LLC,UNITED STATES OF AMERICA,Kelli M.,Americas,false
"TARGET FLAVORS, INC.","TARGET FLAVORS, INC.",UNITED STATES OF AMERICA,Kelli M.,Americas,false
TASTE FLAVOURINGS LTD,TASTE FLAVOURINGS LTD,UNITED KINGDOM,Florian M.,Europe,false
TATE & LYLE,Tate & Lyle Solutions USA LLC,UNITED STATES OF AMERICA,Kelli M.,Americas,false
"TENGZHOU WUTONG SPICE CO.,LTD","TENGZHOU WUTONG SPICE CO.,LTD",CHINA,Haibin Y.,China/Japan,false
TEXAS BIOTECHNOLOGY INC.,TEXAS BIOTECHNOLOGY INC.,UNITED STATES OF AMERICA,Kelli M.,Americas,false
Th. GEYER GMBH & CO. KG,Th. GEYER GMBH & CO. KG,GERMANY,Florian M.,Europe,false
Thame Laboratories,Thame Laboratories,UNITED KINGDOM,Gwenn B.,Europe,false
THE EDLONG CORPORATION,THE EDLONG CORPORATION,UNITED STATES OF AMERICA,Danielle J.,Americas,false
