process,category,type,account_num
FD-GA-CA,Fixed O/H Cost,Lab Expense,72-70-50224-2321
MAG-CMAG,Fixed O/H Cost,Safety Expense,72-70-50221-2316
MAG-CMAG,Fixed O/H Cost,Storage Expense,72-70-50208-2316
MAG-CMAG,Fixed O/H Cost,Professional Services - Testing,72-70-50211-2316
MAG-CMAG,Fixed O/H Cost,Lab Expense,72-70-50224-2316
MAGNASWEET-MAG/DPG/TSG/DSG/GA,Fixed O/H Cost,Safety Expense,72-70-50221-2322
MAGNASWEET-MAG/DPG/TSG/DSG/GA,Fixed O/H Cost,Storage Expense,72-70-50208-2322
MAGNASWEET-MAG/DPG/TSG/DSG/GA,Fixed O/H Cost,Professional Services - Testing,72-70-50211-2322
MAGNASWEET-MAG/DPG/TSG/DSG/GA,Fixed O/H Cost,Lab Expense,72-70-50224-2322
MIXING-MAG/DPG/TSG/DSG/GA,Fixed O/H Cost,Safety Expense,72-70-50221-2329
MIXING-MAG/DPG/TSG/DSG/GA,Fixed O/H Cost,Storage Expense,72-70-50208-2329
MIXING-MAG/DPG/TSG/DSG/GA,Fixed O/H Cost,Professional Services - Testing,72-70-50211-2329
MIXING-MAG/DPG/TSG/DSG/GA,Fixed O/H Cost,Lab Expense,72-70-50224-2329
WET MIX,Fixed O/H Cost,Safety Expense,72-70-50221-2324
WET MIX,Fixed O/H Cost,Storage Expense,72-70-50208-2324
WET MIX,Fixed O/H Cost,Professional Services - Testing,72-70-50211-2324
WET MIX,Fixed O/H Cost,Lab Expense,72-70-50224-2324
CHINA,Fixed O/H Cost,Safety Expense,72-70-50221-2307
CHINA,Fixed O/H Cost,Safety Expense,72-70-50221-2308
CHINA,Fixed O/H Cost,Safety Expense,72-70-50221-2309
CHINA,Fixed O/H Cost,Safety Expense,72-70-50221-2310
CHINA,Fixed O/H Cost,Storage Expense,72-70-50208-2307
CHINA,Fixed O/H Cost,Storage Expense,72-70-50208-2308
CHINA,Fixed O/H Cost,Storage Expense,72-70-50208-2309
CHINA,Fixed O/H Cost,Professional Services - Testing,72-70-50211-2307
CHINA,Fixed O/H Cost,Professional Services - Testing,72-70-50211-2308
CHINA,Fixed O/H Cost,Professional Services - Testing,72-70-50211-2309
CHINA,Fixed O/H Cost,Lab Expense,72-70-50224-2307
CHINA,Fixed O/H Cost,Lab Expense,72-70-50224-2308
CHINA,Fixed O/H Cost,Lab Expense,72-70-50224-2309
CHINA,Fixed O/H Cost,Lab Expense,72-70-50224-2310
