database,group_name,group_description,group_stageDimName,group_financeDimName,group_accessGroup,name,type,description,outputValue,flipSign,ruleExpression
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-12301-2011,TransformOneToOne,EXTRACT USAGE,CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-12301-2012,TransformOneToOne,EXTRACT ADJUST,CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-12301-2013,TransformOneToOne,EXTRACT OUTPUT,CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-12301-2014,TransformOneToOne,EXTRACT SALES,CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-12302-2010,TransformOneToOne,ROOT PURCHASE,CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-12302-2011,TransformOneToOne,ROOT USAGE,CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-12302-2012,TransformOneToOne,ROOT ADJUST,CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-12302-2014,TransformOneToOne,ROOT SALES,CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-12303-,TransformOneToOne,RAW MATERIALS - OTHE,CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-12303-2010,TransformOneToOne,RM-OTHE PURCHASE,CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-12303-2011,TransformOneToOne,RM-OTHE USAGE,CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-12303-2012,TransformOneToOne,RM-OTHE ADJUST,CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-12304-2010,TransformOneToOne,CMAG PURCHASE,CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-12304-2011,TransformOneToOne,CMAG USAGE,CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-12304-2012,TransformOneToOne,CMAG ADJUST,CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-12304-2013,TransformOneToOne,CMAG OUTPUT,CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-12304-2014,TransformOneToOne,CMAG SALES,CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-12305-2010,TransformOneToOne,CWAE PURCHASE,CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-12305-2011,TransformOneToOne,CWAE USAGE,CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-12305-2012,TransformOneToOne,CWAE ADJUST,CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-12305-2013,TransformOneToOne,CWAE OUTPUT,CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-12305-2014,TransformOneToOne,CWAE SALES,CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-12501-,TransformOneToOne,INTERMEDIATE PRODUCT,CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-12501-2010,TransformOneToOne,INTER-PROD PURCHASE,CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-12501-2011,TransformOneToOne,INTER-PROD USAGE,CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-12501-2012,TransformOneToOne,INTER-PROD ADJUST,CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-12501-2013,TransformOneToOne,INTER-PROD OUTPUT,CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-12501-2014,TransformOneToOne,INTER-PROD SALES,CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-12502-,TransformOneToOne,INTERM PROD FG - CGA,CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-12502-2010,TransformOneToOne,INTERM PROD FG PURCH,CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-12502-2011,TransformOneToOne,INTERM PROD FG USAGE,CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-12502-2012,TransformOneToOne,INTERM PROD FG ADJUS,CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-12502-2013,TransformOneToOne,INTERM PROD FG OUTPU,CC_BalSheet,false,
CHINA,UD3_Chempax_China,UD3_Chempax_China,U3,DetailCostCenter,Everyone,72-70-12502-2014,TransformOneToOne,INTERM PROD FG SALES,CC_BalSheet,false,
