database,group_name,group_description,group_stageDimName,group_financeDimName,group_accessGroup,name,type,description,outputValue,flipSign,ruleExpression
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-12104-2012,TransformOneToOne,CHEMICALS ADJUST,1201400,false,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-12301-,TransformOneToOne,RAW MATERIALS - EXTR,1201000,false,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-12301-2010,TransformOneToOne,EXTRACT PURCHASE,1201000,false,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-12301-2011,TransformOneToOne,EXTRACT USAGE,1201000,false,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-12301-2012,TransformOneToOne,EXTRACT ADJUST,1201000,false,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-12301-2013,TransformOneToOne,EXTRACT OUTPUT,1201000,false,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-12301-2014,TransformOneToOne,EXTRACT SALES,1201000,false,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-12302-2010,TransformOneToOne,ROOT PURCHASE,1201000,false,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-12302-2011,TransformOneToOne,ROOT USAGE,1201000,false,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-12302-2012,TransformOneToOne,ROOT ADJUST,1201000,false,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-12302-2014,TransformOneToOne,ROOT SALES,1201000,false,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-12303-,TransformOneToOne,RAW MATERIALS - OTHE,1201400,false,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-12303-2010,TransformOneToOne,RM-OTHE PURCHASE,1201400,false,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-12303-2011,TransformOneToOne,RM-OTHE USAGE,1201400,false,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-12303-2012,TransformOneToOne,RM-OTHE ADJUST,1201400,false,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-12304-2010,TransformOneToOne,CMAG PURCHASE,1201000,false,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-12304-2011,TransformOneToOne,CMAG USAGE,1201000,false,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-12304-2012,TransformOneToOne,CMAG ADJUST,1201000,false,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-12304-2013,TransformOneToOne,CMAG OUTPUT,1201000,false,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-12304-2014,TransformOneToOne,CMAG SALES,1201000,false,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-12305-2010,TransformOneToOne,CWAE PURCHASE,1201000,false,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-12305-2011,TransformOneToOne,CWAE USAGE,1201000,false,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-12305-2012,TransformOneToOne,CWAE ADJUST,1201000,false,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-12305-2013,TransformOneToOne,CWAE OUTPUT,1203000,false,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-12305-2014,TransformOneToOne,CWAE SALES,1203000,false,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-12501-,TransformOneToOne,INTERMEDIATE PRODUCT,1201000,false,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-12501-2010,TransformOneToOne,INTER-PROD PURCHASE,1201000,false,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-12501-2011,TransformOneToOne,INTER-PROD USAGE,1201000,false,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-12501-2012,TransformOneToOne,INTER-PROD ADJUST,1201000,false,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-12501-2013,TransformOneToOne,INTER-PROD OUTPUT,1201000,false,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-12501-2014,TransformOneToOne,INTER-PROD SALES,1201000,false,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-12502-,TransformOneToOne,INTERM PROD FG - CGA,1201000,false,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-12502-2010,TransformOneToOne,INTERM PROD FG PURCH,1201000,false,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-12502-2011,TransformOneToOne,INTERM PROD FG USAGE,1201000,false,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-12502-2012,TransformOneToOne,INTERM PROD FG ADJUS,1201000,false,
CHINA,A_Chempax_China,A_Chempax_China,Ac,DetailAccount,Everyone,72-70-12502-2013,TransformOneToOne,INTERM PROD FG OUTPU,1201000,false,
